BOM combines:					Creation process: pcbom.ulp -> csv with all parameters, open csv, copy paste here, manually rearrange coloumns							Legend:										
axiom_beta_main_board_v0.37 R1.1					axiom_beta_power_board_v0.37 R1.2							light orange lines are THT components										
axiom_beta_interface_dummy_v0.13_r1.2					axiom_beta_sensor_cmv12000_tht_v0.16_r1.4c							Red Text means something needs attention 										
																						
ID	Sub-ID	mehrfach	Qty	Description	Package	Schematic Reference (Silkscreen)	Combined Sch. Reference (*.asc)	PCB	Side	Mount	Tele ID	Digi-Key	Farnell	Mouser	Manufacturer	MPN	Source	Packaging	Stock (11/2020)	Note	Insurance Value (pc)	Datasheet
65	24		1	124k 0.1%	0402	R26	R26_PB	PB V0.37 R1.2		SMT						Welchen? -> Bertl	Tele	Reel	Bestellen		-	
66	25		1	19k6 0.1%	0402	R28	R28_PB	PB V0.37 R1.2		SMT						Welchen? -> Bertl	Tele	Reel	Bestellen		-	
67	26		22	0R02	1206	R51, R52, R53, R54, R55, R56, R57, R58, R59, R60, R61, R62, R63, R64, R65, R66, R67, R68, R69, R70, R71, R72	R51_PB,  R52_PB,  R53_PB,  R54_PB,  R55_PB,  R56_PB,  R57_PB,  R58_PB,  R59_PB,  R60_PB,  R61_PB,  R62_PB,  R63_PB,  R64_PB,  R65_PB,  R66_PB,  R67_PB,  R68_PB,  R69_PB,  R70_PB,  R71_PB,  R72_PB	PB V0.37 R1.2		SMT				756-LRMAM1206R02FT5			Tele	Reel	Bestellen			
68	27		1	750R 1%	0402	R73	R73_PB	PB V0.37 R1.2		SMT			2073236	CRG0402F750R			Tele	Reel	Bestellen			
69	28		1	1k27 1%	0402	R74	R74_PB	PB V0.37 R1.2		SMT			2072596				Tele	Reel	Bestellen			
70	29		1	430R 1%	0402	R75	R75_PB	PB V0.37 R1.2	TOP	SMT			2073029				Tele	Reel	Bestellen			
71	30		1	0R	0402	R76	R76_PB	PB V0.37 R1.2		SMT	015782						Tele	8mm Reel				
72	31		1	100R 1%	0402	R77	R77_PB	PB V0.37 R1.2		SMT			9239111				Tele	Reel	Bestellen			
73	32		1	560R	0402	R78	R78_PB	PB V0.37 R1.2	TOP	SMT	015800						Tele	Reel	Bestand: 0	WID SMD 560R 0402 +-1% 62,5mW TK100		
74	33		1	5k6 1%	0402	R79	R79_PB	PB V0.37 R1.2	BOT	SMT			2073130				Tele	Reel	Bestellen			
75	34		1	9k1 1%	0402	R80	R80_PB	PB V0.37 R1.2	BOT	SMT			2073309				Tele	Reel	Bestellen			
76	35		1	2k0 1%	0402	R81	R81_PB	PB V0.37 R1.2	BOT	SMT			2073309		Yageo 	RC0402FR-072KL	Tele	Reel	Bestellen			
77	36		1	1k6 1%	0402	R82	R82_PB	PB V0.37 R1.2		SMT			2072669				apertus	8mm Reel				
78	37		1	2k7 1%	0402	R83	R83_PB	PB V0.37 R1.2	BOT	SMT			2072855				Tele	Reel	Bestellen			
79	38		4	10k 1%	0402	R85, R87, R109, R126	R85_PB,  R87_PB,  R109_PB,  R126_PB	PB V0.37 R1.2		SMT	015761						Tele	8mm Reel		WID SMD 10k 0402 +-1% 100mW TK100		
80	39		2	13k 1%	0402	R86, R88	R86_PB,  R88_PB	PB V0.37 R1.2		SMT							?			ersetzen um zeile einzusparen? ->  Bertl		
81	40		1	3k 1%	0402	R89	R89_PB	PB V0.37 R1.2	BOT	SMT							?			ersetzen um zeile einzusparen? ->  Bertl		
82	41		1	15k 1%	0402	R90	R90_PB	PB V0.37 R1.2		SMT							?			ersetzen um zeile einzusparen? ->  Bertl		
83	42		1	1k 1%	0402	R91	R91_PB	PB V0.37 R1.2		SMT							?			ersetzen um zeile einzusparen? ->  Bertl		
84	43	X	16	4k7 1%	0402	R92, R93, R95, R96, R97, R98, R100, R101, R102, R103, R105, R106, R107, R108, R120, R121	R92_PB,  R93_PB,  R95_PB,  R96_PB,  R97_PB,  R98_PB,  R100_PB,  R101_PB,  R102_PB,  R103_PB,  R105_PB,  R106_PB,  R107_PB,  R108_PB,  R120_PB,  R121_PB	PB V0.37 R1.2	BOT	SMT	015773						Tele	8mm Reel		WID SMD 4k7 0402        +-1% 100mW TK100, auch auf MB		
85	44		4	200k 1%	0402	R94, R99, R104, R119	R94_PB,  R99_PB,  R104_PB,  R119_PB	PB V0.37 R1.2	TOP	SMT			2072754				?	8mm Reel				
86	45		1	523k 0.1%	0402	R110	R110_PB	PB V0.37 R1.2		SMT						Welchen? -> Bertl	Tele	Reel	Bestellen	Bertl sucht noch ob wir bestehende nehmen können		
87	46		1	536k 0.1%	0402	R114	R114_PB	PB V0.37 R1.2		SMT						Welchen? -> Bertl	Tele	Reel	Bestellen	Bertl sucht noch ob wir bestehende nehmen können		
88	47		5	100k 0.1%	0402	R111, R115, R116, R117, R118	R111_PB,  R115_PB,  R116_PB,  R117_PB,  R118_PB	PB V0.37 R1.2		SMT						Welchen? -> Bertl	Tele	Reel	Bestellen	Bertl sucht noch ob wir bestehende nehmen können		
89	48		4	49K9 1%	0402	R122, R123, R124, R125	R122_PB,  R123_PB,  R124_PB,  R125_PB	PB V0.37 R1.2		SMT			2446499				apertus	8mm Reel	10000			
90	49		1	Traceability Pad 91658	3X2MM	S/N	S/N_PB	PB V0.37 R1.2		SMT	?				Molex	91658	Tele			Traceability Pad 91658		
91	50		1	MICRO-SD-2CD	TF-MICRO-SD_PP2	SD1	SD1_PB	PB V0.37 R1.2		SMT			2081363				apertus	24mm Tape				
92	51		1	PIC16F15325-JQ	UQFN65P400X400X100-17N	U1	U1_PB	PB V0.37 R1.2		SMT				579-PIC16F15325TI/JQ	579-PIC16F15325TI/JQ		apertus	Tape?	Bestellen		€0.77	https://datasheet.octopart.com/PIC16F15325T-I-JQ-Microchip-datasheet-86091128.pdf
93	52		2	TPS82130SIL-GM	SIL0008D-GM	U2, U3	U2_PB,  U3_PB	PB V0.37 R1.2		SMT					595-TPS82130SILR		apertus	?	Bestellen	3-A 17V Step-down Converter Module with Integrated Inductor	€2.50	https://www.ti.com/lit/gpn/tps82130
